Date,Open,High,Low,Close,Volume,Adj Close
2010-06-28,127.65,129.47,124.12,125.09,7855600,125.09
2010-06-21,131.42,131.94,127.12,127.12,7145900,127.12
2010-06-14,128.50,131.25,128.34,130.15,6991700,130.15
2010-06-07,125.57,128.80,122.82,128.45,7278600,128.45
2010-06-01,124.69,128.22,124.20,125.28,7788800,125.28
2010-05-24,125.26,126.39,121.47,125.26,8118800,125.26
2010-05-17,130.68,131.99,121.40,125.42,10547700,125.42
2010-05-10,126.27,133.10,125.06,131.19,10401500,131.19
2010-05-03,129.39,130.14,116.00,122.10,8620700,122.10
2010-04-26,129.76,132.00,128.71,129.00,7075600,128.34
2010-04-19,130.38,132.28,127.77,129.99,9269000,129.33
2010-04-12,128.57,132.17,127.84,130.63,7065700,129.96
2010-04-05,128.38,129.80,127.12,128.76,4878800,128.10
2010-03-29,129.30,129.95,127.55,128.25,4488700,127.60
2010-03-22,127.11,130.73,126.57,129.26,6290700,128.60
2010-03-15,127.40,128.93,126.78,127.71,6535800,127.06
2010-03-08,127.06,128.37,125.20,127.94,6747200,127.29
2010-03-01,127.50,129.09,125.47,127.25,5830700,126.60
2010-02-22,127.30,128.27,125.57,127.16,4724900,126.51
2010-02-16,124.91,128.06,124.11,127.19,6108400,126.54
2010-02-08,123.15,124.20,121.61,124.00,6017700,123.37
2010-02-01,123.23,126.07,121.83,123.52,7012700,122.34
2010-01-25,126.33,127.75,121.90,122.39,8557200,121.22
2010-01-19,131.63,134.25,125.37,125.50,12202700,124.30
2010-01-11,131.06,132.89,128.67,131.78,7174700,130.52
2010-01-04,131.18,132.97,128.91,130.85,5727900,129.60
2009-12-28,130.99,132.85,130.68,130.90,4518700,129.65
2009-12-21,127.80,130.57,127.68,130.57,4675100,129.33
2009-12-14,129.65,129.98,127.00,127.91,6890500,126.69
2009-12-07,126.88,129.77,126.11,129.68,5848500,128.44
2009-11-30,125.12,128.90,124.92,127.25,6061500,126.04
2009-11-23,127.70,128.94,124.26,125.70,4776700,124.50
2009-11-16,127.17,128.65,126.46,126.96,4696500,125.75
2009-11-09,123.92,127.80,123.49,127.03,6213000,125.82
2009-11-02,120.77,123.50,119.50,123.49,6158100,122.31
2009-10-26,120.61,123.25,119.15,120.61,7757000,118.93
2009-10-19,121.76,124.11,120.00,120.36,7258400,118.68
2009-10-12,125.44,128.61,121.25,121.64,11195700,119.94
2009-10-05,118.90,126.00,118.13,125.93,7565100,124.17
2009-09-28,120.52,122.00,117.26,119.02,7476000,117.36
2009-09-21,121.03,122.74,120.10,121.08,5246500,119.39
2009-09-14,117.00,122.88,116.94,122.11,8171900,120.41
2009-09-08,117.94,119.25,116.16,118.05,5457100,116.40
2009-08-31,117.10,118.93,115.15,117.46,5061900,115.82
2009-08-24,119.92,120.88,117.51,118.22,5224700,116.57
2009-08-17,116.69,120.01,116.12,119.90,5524400,118.23
2009-08-10,118.17,119.96,117.32,118.57,5080200,116.92
2009-08-03,118.88,119.96,116.70,119.33,5578700,117.66
2009-07-27,116.95,119.37,116.05,117.93,5617100,115.74
2009-07-20,114.53,118.15,114.39,117.64,8504000,115.46
2009-07-13,101.28,115.53,100.19,115.42,11758700,113.28
2009-07-06,101.57,102.78,99.50,100.83,6841600,98.96
2009-06-29,105.99,106.27,101.73,101.73,6189600,99.84
2009-06-22,105.18,106.79,103.51,105.68,6174300,103.72
2009-06-15,107.63,109.14,105.50,105.89,8586100,103.93
2009-06-08,106.64,110.64,105.50,108.21,7782600,106.20
2009-06-01,106.94,108.80,105.11,107.24,7118400,105.25
2009-05-26,101.32,106.50,101.02,106.28,6832500,104.31
2009-05-18,102.00,106.12,101.74,101.89,6919900,100.00
2009-05-11,101.09,104.38,100.57,101.37,8445800,99.49
2009-05-04,105.26,106.82,99.83,101.49,8538300,99.61
2009-04-27,99.61,106.05,99.25,104.61,9278800,102.14
2009-04-20,100.29,103.86,98.20,100.08,11893800,97.71
2009-04-13,100.28,102.04,96.44,101.27,8342300,98.88
2009-04-06,100.90,102.45,98.52,101.70,8221700,99.30
2009-03-30,92.00,102.66,91.80,102.22,12982500,99.80
2009-03-23,93.70,99.86,92.75,94.15,12190100,91.93
2009-03-16,91.65,95.00,89.41,92.51,12666100,90.32
2009-03-09,84.70,90.65,83.02,90.36,12366300,88.22
2009-03-02,91.17,91.90,83.81,85.81,14896700,83.78
2009-02-23,89.30,93.28,82.85,92.03,15561100,89.86
2009-02-17,91.73,92.49,87.34,88.79,10604800,86.69
2009-02-09,95.93,96.98,92.20,93.84,9826500,91.62
2009-02-02,90.60,97.10,89.69,96.14,10731900,93.87
2009-01-26,89.77,94.94,89.52,91.65,10163800,89.00
2009-01-20,84.76,91.60,81.76,89.49,15327300,86.90
2009-01-12,84.57,86.60,82.11,84.92,9636000,82.46
2009-01-05,86.42,90.41,84.25,84.70,8218400,82.25
2008-12-29,81.72,87.59,79.68,87.37,6515700,84.84
2008-12-22,83.27,83.45,79.92,81.33,4743500,78.98
2008-12-15,82.51,87.27,80.00,83.52,10025600,81.10
2008-12-08,82.57,85.88,78.06,82.20,9957000,79.82
2008-12-01,80.95,81.50,75.31,80.59,10290800,78.26
2008-11-24,75.74,82.40,75.00,81.60,9922900,79.24
2008-11-17,79.40,81.00,69.50,74.88,14682300,72.71
2008-11-10,87.99,88.10,75.40,80.33,11638800,78.01
2008-11-03,92.64,94.76,84.25,86.27,9403000,83.78
2008-10-27,80.27,94.19,79.01,92.97,12107400,89.78
2008-10-20,92.21,93.31,78.82,82.07,11661300,79.25
