Date,Open,High,Low,Close,Volume,Adj Close
2010-07-01,123.55,124.21,121.61,122.57,19484200,122.57
2010-06-01,124.69,131.94,122.82,123.48,7726500,123.48
2010-05-03,129.39,133.10,116.00,125.26,9793300,125.26
2010-04-01,128.95,132.28,127.12,129.00,7271100,128.34
2010-03-01,127.50,130.73,125.20,128.25,6300000,127.60
2010-02-01,123.23,128.27,121.61,127.16,6210200,126.51
2010-01-04,131.18,134.25,121.90,122.39,8825300,121.22
